No.,분류,처방명,별명,구성,[등록]
24,마황제,마황가출탕,,마황:6/계지:4/자감초:2/행인:21/백출:8,+?/?-
25,마황제,갈근탕,,마황:6/계지:4/자감초:4/갈근:8/작약:4/대추:6/생강:6,+?/?-
26,마황제,계마각반탕,,마황:2/계지:3/자감초:2/행인:7/작약:2/대추:2/생강:2,+?/?-
27,마황제,대청룡탕,,마황:12/계지:4/자감초:4/행인:12/석고:24/대추:5/생강:6,+?/?-
28,마황제,소청룡탕,,마황:6/계지:6/자감초:6/작약:6/오미자:6/반하:16/건강:6/세신:6,+?/?-
29,마황제,소청룡가석고탕,소청룡석고,마황:6/계지:6/자감초:6/작약:6/오미자:6/반하:16/건강:6/세신:6/석고:4,+?/?-
30,마황제,월비탕,,마황:12/자감초:4/석고:16/대추:8/생강:6,+?/?-
31,마황제,월비가출탕,,마황:12/자감초:4/석고:16/대추:8/생강:6/백출:8,+?/?-
32,마황제,마행감석탕,,마황:8/행인:15/자감초:4/석고:16,+?/?-
33,마황제,마행의감탕,,마황:8/행인:4/의이인:12/자감초:4,+?/?-
34,마황제,마황부자세신탕,마부신/마신부,마황:4/부자:1/세신:4,+?/?-
35,마황제,마황부자감초탕,,마황:4/자감초:4/부자:1,+?/?-
36,마황제,마황연교적소두탕,마연적,마황:4/연교:4/행인:4/적소두:28/대추:6/상백피:20/생강:4/자감초:4,+?/?-
37,시호제,소시호탕,,시호:16/반하:16/황금:6/인삼:6/자감초:6/생강:6/대추:6,+?/?-
38,시호제,대시호탕,,시호:16/반하:16/황금:6/지실:8/작약:6/대황:4/생강:10/대추:6,+?/?-
39,시호제,중시호탕,,시호:16/반하:16/황금:6/인삼:6/자감초:6/지실:8/작약:6/대황:4/생강:10/대추:6,+?/?-
40,시호제,시호가용골모려탕,시용모,시호:8/반하:8/황금:3/인삼:3/생강:3/대추:3/대황:4/복령:3/계지:3/용골:3/모려:3,+?/?-
41,시호제,사역산,,시호:16/지실:16/작약:16/자감초:16,+?/?-
42,시호제,시호계지탕,시계,시호:8/반하:8/황금:3/인삼:3/자감초:2/생강:3/대추:3/작약:3/계지:3,+?/?-
43,시호제,시호계지건강탕,시계건,시호:16/계지:6/건강:4/괄루근:8/황금:6/모려:4/자감초:4,+?/?-
44,시호제,소시호가망초탕,,시호:16/반하:16/황금:6/인삼:6/자감초:6/생강:6/대추:6/망초:4,+?/?-
45,금련제,대황황련사심탕,,황련:2/황금:2/대황:4,+?/?-
46,금련제,삼황사심탕,,황련:6/황금:6/대황:6,+?/?-
47,금련제,황련탕,,황련:6/건강:6/인삼:4/자감초:6/대추:6/반하:16/계지:6,+?/?-
48,금련제,갈근황금황련탕,갈금련,갈근:16/황련:6/황금:6/자감초:6,+?/?-
49,금련제,황련아교탕,,황련:8/황금:4/작약:4/아교주:3,+?/?-
50,금련제,건강황금황련인삼탕,강금련인,건강:6/황금:6/황련:6/인삼:6,+?/?-
51,금련제,반하사심탕,반사,황련:2/황금:6/인삼:6/반하:16/자감초:6/대추:6/건강:6,+?/?-
52,금련제,생강사심탕,생사,황련:2/황금:6/인삼:6/반하:16/자감초:6/대추:6/건강:2/생강:8,+?/?-
53,금련제,감초사심탕,감사,황련:2/황금:6/인삼:6/반하:16/자감초:8/대추:6/건강:6,+?/?-
54,금련제,부자사심탕,,대황:4/황련:2/황금:2/부자:2,+?/?-
55,금련제,황금탕,,황금:6/작약:4/자감초:4/대추:6,+?/?-
56,금련제,오매환,,오매:6/건강:6/당귀:6/세신:4/계지:4/인삼:4/황련:4/황백:3/촉초:2/부자:2,+?/?-
57,금련제,삼물황금탕,,황금:2/고삼:4/건지황:8,+?/?-
59,금련제,선복대자석탕,,선복화:6/인삼:4/생강:10/대자석:2/자감초:6/반하:10/대추:6,+?/?-
60,치자제,치자시탕,치시,치자:14/두시:20,+?/?-
61,치자제,치자벽피탕,,치자:14/황백:4/자감초:2,+?/?-
62,치자제,인진호탕,,치자:14/대황:4/인진호:12,+?/?-
63,치자제,치자감초시탕,,치자:14/자감초:4/두시:20,+?/?-
64,치자제,치자생강시탕,,치자:14/생강:10/두시:20,+?/?-
65,치자제,치자대황탕,,치자:14/대황:2/지실:10/두시:20,+?/?-
66,치자제,지실치자탕,,지실:6/치자:14/두시:3,+?/?-
67,치자제,치자후박탕,,치자:14/후박:8/지실:8,+?/?-
68,치자제,치자건강탕,,치자:14/건강:2,+?/?-
